Helm do Brasil Mercantil Ltda. - São Paulo/SP. | Marca comercial: Predador | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de café, citros, coco, maçã. Mamão, seringueira e tomate.
Syngenta Proteção de Cultivos Ltda. - São Paulo/SP. | Marca comercial: Walux | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de sopa, soja geneticamente modificada, milho e milho geneticamente modificado.
Albaugh Agro Brasil Ltda. - São Paulo/SP. | Marca comercial: Atrazina 900 WG Atanor. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de milho e sorgo.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Wiper. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de amendoim, batata, berinjela, cebola, cenoura, feijão, mamão, melancia, pepino, rosa e tomate.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Gesametrina. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para a cultura de cana-de-açúcar.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Sugarina. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para a cultura de cana-de-açúcar.
Syngenta Proteção de Cultivos Ltda. - São Paulo/SP. | Marca comercial: Savivo. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de algodão, batata, café, citros, soja e tomate.
Syngenta Proteção de Cultivos Ltda. - São Paulo/SP. | Marca comercial: Vertimec 84 SC. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de algodão, batata, café, citros, soja e tomate.
UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Ituverava/SP. | Marca comercial: Dez Gold. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de arroz, café, cana-de-açúcar, milho e soja.
BRA Defensivos Agrícolas Ltda. - Piracicaba/SP. | Marca comercial: Nico 750 WG. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para a cultura de milho.
